Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	Ne[1]	Ne[2]	Ne[3]	Ne[4]	Ne[5]	Ne[6]	Ne[7]	Ne[8]	Ne[9]	Ne[10]	Ne[11]	Ne[12]	Ne[13]	Ne[14]	Ne[15]	Ne[16]	Ne[17]	Ne[18]	Ne[19]	relativeExtinction	root	speciation
0	0	-27368.1	-27107.6	-260.428	0.743656	2.10068	0.566346	0.587669	0.01621434	0.62213	5.35776	0.606151	3.01954	10	10	10	10	10	10	10	10	10	10	351.685	70.996	263.312	589.499	26.2441	32.9055	275.844	13.5378	37.1956	0.06632146	8.272924	0.2444811
1	0	-3725.3	-3519.11	-206.188	0.0188196	0.0107924	0.00431046	0.00202483	2.619998	0.139327	6.24536	1.20895	3.24638	10	10	10	10	10	10	10	10	10	10	379.089	68.5137	208.747	579.07	28.6612	26.9064	339.284	7.34677	36.5401	0.8636708	8.272924	3.033561
2	0	-3138.58	-2918.69	-219.887	0.0040319	0.000757885	0.00176265	0.00110596	2.282499	1.45306	9.08574	1.71145	1.51855	10	10	10	10	10	10	10	10	10	10	372.297	65.2653	191.359	615.87	34.3616	26.4226	334.162	6.78181	39.6547	0.9585268	8.272924	2.381257
3	0	-3086.03	-2848.6	-237.426	0.000623525	0.000608502	0.000690583	0.000896287	1.307564	1.73371	2.22237	2.84041	2.04546	10	10	10	10	10	10	10	10	10	10	335.22	50.6032	192.823	641.354	32.0498	21.3139	352.873	6.26488	46.5614	0.9585268	8.272924	1.364139
4	0	-3094.01	-2844.77	-249.235	0.00029672	0.000212528	0.000499037	0.000539205	0.3941629	1.84268	2.69054	0.962703	1.88119	10	10	10	10	10	10	10	10	10	10	330.465	48.1996	153.476	571.646	44.0194	21.188	335.218	3.64662	37.3499	0.4725475	8.272924	0.8341233
5	0	-3091.03	-2843.58	-247.454	5.17447e-05	0.000413368	0.000322821	0.000435865	0.7144124	4.05902	3.72173	3.3447	1.75266	10	10	10	10	10	10	10	10	10	10	332.661	48.5556	133.921	612.329	49.6323	24.0425	345.193	0.71548	26.5093	0.4941227	8.272924	1.44582
6	0	-3103.87	-2845.99	-257.882	7.25217e-05	0.000424522	0.000242789	0.000498034	0.07551642	3.2161	4.47907	1.74124	3.24964	10	10	10	10	10	10	10	10	10	10	453.686	47.1385	147.269	585.238	70.4613	22.0661	390.918	1.5877	28.4301	0.1651415	8.272924	0.457283
7	0	-3102.07	-2853.04	-249.029	0.000162751	0.000650042	0.000323509	0.000436037	0.8593201	1.28026	1.97495	2.58968	1.84928	10	10	10	10	10	10	10	10	10	10	479.915	43.0708	175.212	613.557	56.0901	25.0971	377.049	1.51462	35.2584	0.8479879	8.272924	1.013364
8	0	-3089.66	-2833.92	-255.745	0.000150339	0.000315673	0.000309595	0.000324541	0.15363	1.54582	3.39124	1.88472	1.12997	10	10	10	10	10	10	10	10	10	10	414.729	46.4013	203.961	502.765	69.5309	24.918	439.536	1.51041	37.6383	0.2639438	8.272924	0.5820556
9	0	-3095.28	-2841.55	-253.728	0.000137615	0.000535528	0.000219988	0.000326477	0.1675544	2.04725	3.19424	1.31411	2.24389	10	10	10	10	10	10	10	10	10	10	411.949	46.0479	239.975	440.972	62.9634	24.9205	380.688	1.40397	42.583	0.2730308	8.272924	0.6136832
